ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
190,HumanoidGen: Data Generation for Bimanual Dexterous Manipulation via LLM Reasoning,2025,arXiv.org,Neural Information Processing Systems (NeurIPS),Subagent verified NeurIPS venue metadata.,high,2507.00833,2025-07-01,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2507.00833,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/2513cec0a4c58cdc30cdf0b47f210da61ffb0fee; https://arxiv.org/abs/2507.00833; DOI 10.48550/arXiv.2507.00833,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
191,Hume: Introducing System-2 Thinking in Visual-Language-Action Model,2025,arXiv.org,n/a,n/a,n/a,2505.21432,2025-05-27,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2505.21432,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ed4d0cdac476d4514bd8a7f2b6b7101df423ae86; https://arxiv.org/abs/2505.21432; DOI 10.48550/arXiv.2505.21432,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VM=78.7; Google Robot / Fractal VA=74.1; WidowX / Bridge=72.6,78.7,74.1,72.6,74.6,RT-1 (Converged),70.7,SpatialVLA,48.3,pi0-FAST,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=78.7; Google Robot / Fractal VA=74.1; WidowX / Bridge=72.6,high,weight-but-not-for-number,,"Official Hume sources expose public Hume-System2 and LIBERO fine-tuned model files, but the tracked numbers are Google Robot/Fractal VM 78.7, Fractal VA 74.1, and WidowX/Bridge 72.6. HF metadata lists Hume-System2 plus LIBERO-Goal/Object/Spatial checkpoints tagged with LIBERO datasets, and the GitHub releases listing is empty; I found no public checkpoint or result log tied to the SimpleEnv/SimplerEnv VM/VA/WidowX evaluations.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=78.7; Google Robot / Fractal VA=74.1; WidowX / Bridge=72.6,high,official-ish,"Reports success-rate averages for all standard SimplerEnv suites: Google Robot Fractal VM, Google Robot Fractal VA, and WidowX / Bridge."
192,HyperVLA: Efficient Inference in Vision-Language-Action Models via Hypernetworks,2025,arXiv.org,n/a,n/a,n/a,2510.04898,2025-10-06,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2510.04898,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/48a0ad020041d271fc4af48ef0cc0e2e9033eea8; https://arxiv.org/abs/2510.04898; DOI 10.48550/arXiv.2510.04898; https://openalex.org/W4416374266,reports-results,widowx-bridge,detailed task-specific demonstrations reported in source text,WidowX / Bridge=40.0; additional SimplerEnv results were not suite averages.,,,40.0,,,,,36,OpenVLA,Independent subagent full-text/result audit verified: WidowX / Bridge=40.0; additional SimplerEnv results were not suite averages.,high,not-found,,"The official repository provides SIMPLER evaluation commands, but they require a local `your_model_path`/`your_pretrained_checkpoint_path`. GitHub releases are empty and HF model/dataset searches for HyperVLA returned no public model artifacts, so no public checkpoint is tied to the tracked WidowX/Bridge 40.0 number.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=40.0; additional SimplerEnv results were not suite averages.,high,official-ish,Reports a clean WidowX / Bridge success-rate average (40.0); other task-level SimplerEnv results are extra and not used for the label.
193,IGen: Scalable Data Generation for Robot Learning from Open-World Images,2025,arXiv.org,n/a,n/a,n/a,2512.01773,2025-12-01,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2512.01773,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/2ff9856abb65755461fa8246e31daefe1d886ac3; https://arxiv.org/abs/2512.01773; DOI 10.48550/arXiv.2512.01773,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
194,ImageInThat: Manipulating Images to Convey User Instructions to Robots,2025,IEEE/ACM International Conference on Human-Robot Interaction,IEEE/ACM International Conference on Human-Robot Interaction,Subagent verified HRI venue metadata.,high,2503.15500,2025-01-21,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/HRI61500.2025.10974179,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/cdbbd742ccb8f15e7250f1f49cd36a0efdef771d; https://arxiv.org/abs/2503.15500; DOI 10.1109/HRI61500.2025.10974179,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
195,Improving Robotic Manipulation Robustness via NICE Scene Surgery,2025,arXiv.org,n/a,n/a,n/a,2511.22777,2025-11-27,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2511.22777,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/e2b0529c28b29998854b356af634b855498a98eb; https://arxiv.org/abs/2511.22777; DOI 10.48550/arXiv.2511.22777,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
196,Incentivizing Multimodal Reasoning in Large Models for Direct Robot Manipulation,2025,arXiv.org,n/a,n/a,n/a,2505.12744,2025-05-19,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2505.12744,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/895a55cfac289b2d17326db7d185307b161b469c; https://arxiv.org/abs/2505.12744; DOI 10.48550/arXiv.2505.12744,reports-results,simplerenv-result-unattributed,5-10 samples per task; 65 training samples total across 7 tasks,Reports custom SimplerEnv results; no standard suite average.,,,,,,,,,,Independent subagent full-text/result audit verified: Reports custom SimplerEnv results; no standard suite average.,high,not-found,,"The paper describes ReasonManip as a Qwen2.5-VL-7B-Instruct-based model trained with 65 Simpler samples, SFT, and GRPO in the SIMPLER simulator. Exact-title and ReasonManip GitHub/HF searches found no official repository or model files, and the paper text did not provide a checkpoint/download link. Thus no public artifact is tied to its custom SimplerEnv results.",high,Independent subagent full-text/result audit verified: Reports custom SimplerEnv results; no standard suite average.,high,otherwise,"Reports custom SimplerEnv results without a VM, VA, or WidowX-Bridge suite average, so the numbers are not comparable to the standard protocol."
197,Inference-Time Enhancement of Generative Robot Policies via Predictive World Modeling,2025,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters,Subagent verified IEEE Robotics and Automation Letters venue metadata.,high,2502.00622,2025-02-02,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/LRA.2026.3673995,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/36a59ec422a08bbdfa54a9f8e37b8155b93e72a4; https://arxiv.org/abs/2502.00622; DOI 10.1109/LRA.2026.3673995,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
198,InstructVLA: Vision-Language-Action Instruction Tuning from Understanding to Manipulation,2025,arXiv.org,International Conference on Learning Representations (ICLR),Subagent verified ICLR venue metadata.,high,2507.17520,2025-07-23,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2507.17520,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/c0caf3a0f22f18d492265a4eb83424bc5794c534; https://arxiv.org/abs/2507.17520; DOI 10.48550/arXiv.2507.17520; https://openalex.org/W4414881418,reports-results,simplerenv-result-unattributed,not reported,Reports SimplerEnv result without a clean VM/VA/WidowX suite average.,,,,,,,,,,Subagent verified ICLR venue and cleared unsupported VA suite value.,high,number-associated weight available,https://huggingface.co/ShuaiYang03/instructvla_finetune_v2_xlora_freeze_head_instruction,"Official InstructVLA sources release SimpleEnv/SimplerEnv checkpoints rather than only generic base weights. The GitHub README lists Expert-Simpler and Generalist-Simpler HF checkpoints, the selected HF model exposes `checkpoints/step-013500-epoch-01-loss=0.1093.pt`, and the same repository contains `results_step-013500-epoch-01-loss=0.1093_simpler_*` final_result logs. These artifacts correspond to the paper's tracked SimplerEnv/SimplerEnv-Instruct reported results, even though the tracker row does not reduce them to a clean VM/VA/WidowX suite average.",high,Subagent verified ICLR venue and cleared unsupported VA suite value.,high,otherwise,"Reports SimplerEnv/SimplerEnv-Instruct results but no clean Google VM, Google VA, or WidowX-Bridge suite average, so the protocol is unattributed/non-comparable."
199,Intention-Conditioned Flow Occupancy Models,2025,arXiv.org,International Conference on Learning Representations (ICLR),Subagent verified ICLR venue metadata.,high,2506.08902,2025-06-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2506.08902,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ec02d759dce3aabb98209de64beacd74e5bbb93e; https://arxiv.org/abs/2506.08902; DOI 10.48550/arXiv.2506.08902,reports-results,simplerenv-result-unattributed,not reported,Reports a single-task SimplerEnv figure/result; no clean suite average.,,,,,,,,,,Subagent verified ICLR venue and single-task result; suite cells left blank.,high,not-found,,"The official InFOM repository provides code and dataset-generation/download commands for OGBench/ExORL-style runs, but no release assets or model/checkpoint downloads. HF exact-title/InFOM searches found no relevant model artifacts, so no public checkpoint is tied to the tracked single-task SimpleEnv/SimplerEnv result.",high,Subagent verified ICLR venue and single-task result; suite cells left blank.,high,otherwise,"Reports only a single-task SimplerEnv result rather than a standard suite average, so it is not comparable to VM/VA/WidowX-Bridge protocol."
200,Interleave-VLA: Enhancing Robot Manipulation with Interleaved Image-Text Instructions,2025,arXiv.org,n/a,n/a,n/a,2505.02152,2025-05-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2505.02152,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f763eb3d9e9a4c8010c6ac4f9b684fed96fd638b; https://arxiv.org/abs/2505.02152; DOI 10.48550/arXiv.2505.02152,reports-results,widowx-bridge,not reported,"Interleave-VLA (Full) reports In-Domain average 71.0, OOD Visual 73.4, Novel Object 55.7, Novel Category 53.0, and OOD Avg 60.7. Interleave-VLA (Partial) reports In-Domain 71.9 and OOD Avg 44.2; the pi0 Text-VLA baseline reports In-Domain 69.2 and OOD Avg 40.9.",,,71.0,,,,,69.2,pi0 Text-VLA,"Local full text /tmp/simplerenv_audit/s2_texts/f763eb3d9e9a4c8010c6ac4f9b684fed96fd638b.txt, lines 402-416 describe extending SimplerEnv with interleaved prompts and using four SimplerEnv-Bridge tasks plus ten new OOD tasks; lines 440-455 give Table 1 with In-Domain and OOD success rates.",high,number-associated weight available,https://huggingface.co/Interleave-VLA/interleave-pi0-bridge,"The tracked Table 1 SimplerEnv-Bridge numbers are for Interleave-VLA adapted from pi0, with Interleave-VLA Full reporting In-Domain 71.0 and OOD averages. The official repository links an Interleave-pi0 HF checkpoint, HF metadata lists `step34799.pt`, and the official SimplerEnv Bridge evaluation script comments `hf download Interleave-VLA/interleave-pi0-bridge --include ""step34799.pt""` before using that checkpoint path. I did not download the large `.pt` file.",high,"Local full text /tmp/simplerenv_audit/s2_texts/f763eb3d9e9a4c8010c6ac4f9b684fed96fd638b.txt, lines 402-416 and 440-455 directly state SimplerEnv evaluation and results.",high,official-ish,Reports an In-Domain average on the four SimplerEnv-Bridge WidowX tasks; custom OOD suites are extra and do not remove the standard-comparable number.
201,Invariance Co-training for Robot Visual Generalization,2025,arXiv.org,n/a,n/a,n/a,2512.05230,2025-12-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2512.05230,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/e020ee2444cbff0a7aa5d5bdfa03856d52eb28b5; https://arxiv.org/abs/2512.05230; DOI 10.48550/arXiv.2512.05230,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Local full text /tmp/simplerenv_audit/s2_texts/e020ee2444cbff0a7aa5d5bdfa03856d52eb28b5.txt, lines 269-275 say the authors collect a static dataset in LIBERO, Unreal Engine, and the Simpler Environment by freezing states and capturing viewpoints; lines 321-335 show reported figures are generalization/ablation results, not SimplerEnv benchmark suite results.",high,,
202,Is Your Imitation Learning Policy Better than Mine? Policy Comparison with Near-Optimal Stopping,2025,Robotics,Robotics: Science and Systems (RSS) 2025,Official RSS program/proceedings pages list Paper ID 77: https://roboticsconference.org/program/papers/77/ and https://www.roboticsproceedings.org/rss21/p077.html.,high,2503.10966,2025-03-14,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2503.10966,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/2a917967c33f83bf4bf93163af0cb742254ec5bb; https://arxiv.org/abs/2503.10966; DOI 10.48550/arXiv.2503.10966,reports-results,simplerenv-result-unattributed,not reported,"Table I reports SimplerEnv terminal empirical success rates for three policy-comparison rows: SpoonOnTowel p0=8.4 and p1=38.6, EggplantInBasket p0=40.0 and p1=56.4, StackCube p0=0.0 and p1=3.0. The Multitask row reports N/A for p0/p1 and no suite average.",,,,,,,,,,"Local full text /tmp/simplerenv_audit/s2_texts/2a917967c33f83bf4bf93163af0cb742254ec5bb.txt, lines 464-490 give Table I and its caption; lines 493-511 state the SimplerEnv simulation comparison of Octo-Small and Octo-Base/OpenVLA on SpoonOnTowel, EggplantInBasket, and StackCube.",high,unclear,,"The tracked SimplerEnv numbers are empirical success rates for Octo-Small versus Octo-Base in the STEP paper. The paper explicitly names Octo-Small and Octo-Base, and official Octo public checkpoints exist on Hugging Face. However, the STEP paper and official STEP repository do not pin the exact Hugging Face repository/version/revision used for the Table I SimplerEnv rollouts; the repository is statistical-test code plus small evaluation artifacts, not a policy-weight release.",medium,"Local full text /tmp/simplerenv_audit/s2_texts/2a917967c33f83bf4bf93163af0cb742254ec5bb.txt, lines 493-511 directly describe the SimplerEnv simulation evaluation.",high,otherwise,"Reports terminal success rates for only three SimplerEnv policy-comparison tasks, with no standard WidowX/Bridge or Google Robot VM/VA suite average."
