ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
200,GWM: Towards Scalable Gaussian World Models for Robotic Manipulation,2025,IEEE International Conference on Computer Vision,IEEE/CVF International Conference on Computer Vision (ICCV) 2025,"CVF open-access page https://openaccess.thecvf.com/content/ICCV2025/html/Lu_GWM_Towards_Scalable_Gaussian_World_Models_for_Robotic_Manipulation_ICCV_2025_paper.html lists Proceedings of ICCV 2025, pp. 9263-9274; arXiv comments say Published at ICCV 2025.",high,2508.17600,,2025-08-25,"arXiv abs page https://arxiv.org/abs/2508.17600 dateline: Submitted on 25 Aug 2025 (v1); submission history v1 Mon, 25 Aug 2025 02:01:09 UTC.",10.1109/ICCV51701.2025.00865,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/d338e99f53dde228a10cd4754562d19b8c6e95f0,reports-results,rss24,50 human demonstrations and 3000 generated demonstrations from MimicGen,"RoboCasa Table 2 multi-task imitation averages computed from table entries: GWM H-50 39.25% vs BC-transformer H-50 28.75% (+10.5); GWM G-3000 55.17% vs BC-transformer G-3000 47.58% (+7.58, reported as +7.6). Table 4 PnP CabToCounter H-50 ablation SR: no GS/no 3D VAE 4%; GS/no 3D VAE 18%; GS+3D VAE 24%.",39.25,,,28.75,BC-transformer (H-50),,,,,Local text /tmp/robocasa_protocol_audit/txt/200_https_arxiv.org_pdf_2508.17600.txt lines 441-451 report average improvements +10.5 and +7.6; lines 468-502 list the 24 task Table 2 values used to compute averages; lines 541-549 show Table 4 ablation SR 4/18/24.,high,not-found,,"The official project page links the official GWM GitHub repository but does not provide model/checkpoint downloads: https://gaussian-world-model.github.io/.; The official README says the repository is WIP and contains training code; it only downloads a third-party Splatt3R dependency checkpoint, not GWM/RoboCasa result weights: https://github.com/Gaussian-World-Model/gaussianwm.; The official pretraining docs instruct users to train the VAE and diffusion model, with no published GWM checkpoint path: https://github.com/Gaussian-World-Model/gaussianwm/blob/main/docs/pretraining.md.; Hugging Face searches found no official GWM model repo; the cardless third-party frankcholula/gaussianwm repo contains only a partial VAE checkpoint and is not tied to the tracked RoboCasa policy number: https://huggingface.co/frankcholula/gaussianwm. Notes: Do not count the public Splatt3R dependency or an unofficial partial VAE as the GWM world model/downstream policy checkpoint that produced the H-50/G-3000 RoboCasa numbers.",high,"GWM evaluates imitation learning on ROBOCASA across 24 kitchen tasks; it reports a 10.5% average success-rate gain in H-50 and 7.6% gain in G-3000, with Table 4 ablation SR improving from 4% to 18% to 24%.",high,official-ish,GWM reports success rates across the 24 RoboCasa kitchen tasks under Human-50 and generated-demo RSS24-style settings.
201,HAMLET: Switch your Vision-Language-Action Model into a History-Aware Policy,2025,arXiv.org,International Conference on Learning Representations (ICLR) 2026,Local PDF line 1 states 'Published as a conference paper at ICLR 2026'; OpenReview page https://openreview.net/forum?id=KcJ9U0x6kO lists ICLR 2026 Poster.,high,2510.00695,,2025-10-01,"arXiv abs page https://arxiv.org/abs/2510.00695 dateline: Submitted on 1 Oct 2025 (v1); submission history v1 Wed, 1 Oct 2025 09:15:52 UTC.",10.48550/arXiv.2510.00695,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4414814351; OpenAlex: W4414814351,reports-results,gr1,"30, 100, or 300 demonstrations per task","RoboCasa Kitchen Table 2 average success (%): HAMLET on GR00T N1.5 = 52.5/65.4/66.4 for 30/100/300 demos. Baselines: pi0 47.8/58.7/62.5; pi0-FAST 29.8/60.2/63.6; GR00T N1 17.4/32.1/49.6; GR00T N1.5 47.8/62.6/64.1; Multi-frame 44.0/59.3/60.8. Table 9 repeats full RoboCasa averages and category averages: HAMLET PnP 37.5/48.5/48.5, Open-or-Close 71.3/85.7/87.7, Others 53.2/66.8/68.0.",,,66.4,,,,,64.1,GR00T N1.5,Local text /tmp/robocasa_protocol_audit/txt/201_https_arxiv.org_pdf_2510.00695.txt lines 449-462: Table 2 simulation benchmark results. Lines 1048-1079: Table 9 full RoboCasa results and averages. Lines 35-39 in abstract summarize 64.1% to 66.4% at 100-demo setup.,high,coming-soon-no-download-link,,"The official project page still shows Code (soon) and no GitHub, model, checkpoint, or download link: https://myungkyukoo.github.io/hamlet/.; The arXiv page reports the tracked RoboCasa result as GR00T N1.5 plus HAMLET, which requires HAMLET moment-token/memory adaptation rather than only the base VLA: https://arxiv.org/abs/2510.00695.; NVIDIA GR00T-N1.5-3B base weights are public, but the Hugging Face repo is a base model users can post-train and is not a HAMLET-adapted RoboCasa checkpoint: https://huggingface.co/nvidia/GR00T-N1.5-3B.; Hugging Face API searches for HAMLET, GR00T HAMLET, and arXiv 2510.00695 returned no public HAMLET model repositories. Notes: Public GR00T N1.5 base weights are not sufficient for the HAMLET RoboCasa number; the official HAMLET artifact status remains code coming soon with no checkpoint download.",high,"HAMLET evaluates GR00T N1.5 on RoboCasa Kitchen; the abstract reports improvement from 64.1% to 66.4%, and Table 9/12 provide RoboCasa success rates for 30, 100, and 300 demo settings.",high,official-ish,"HAMLET reports GR1/Tabletop-style RoboCasa Kitchen average success rates for 30, 100, and 300 demonstration settings."
202,HoMeR: Learning In-the-Wild Mobile Manipulation via Hybrid Imitation and Whole-Body Control,2025,arXiv.org,n/a,n/a,n/a,2506.01185,,2025-06-01,arXiv API published date,10.48550/arXiv.2506.01185,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/9207959dd4a608a294a578156d1398de6f267051,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as reference [5] in the introduction/reference list.,high,,
203,HumanoidGen: Data Generation for Bimanual Dexterous Manipulation via LLM Reasoning,2025,arXiv.org,n/a,n/a,n/a,2507.00833,,2025-07-01,arXiv API published date,10.48550/arXiv.2507.00833,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4417041439; OpenAlex: W4417041439,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"HumanoidGen says it harnesses diverse assets in RoboCasa to generalize demonstrations across over 120 scenes, but the reported benchmark/results are for HGen-Bench rather than RoboCasa metrics.",high,,
204,HWC-Loco: A Hierarchical Whole-Body Control Approach to Robust Humanoid Locomotion,2025,arXiv.org,n/a,n/a,n/a,2503.00923,,2025-03-02,arXiv API published date,10.48550/arXiv.2503.00923,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/d0008028f0a357fccff8b6c8401979b0413b4493,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the references as one of several simulation papers.,high,,
205,ImageInThat: Manipulating Images to Convey User Instructions to Robots,2025,IEEE/ACM International Conference on Human-Robot Interaction,IEEE/ACM International Conference on Human-Robot Interaction,derived from Venue/status/DOI metadata,medium,2503.15500,,2025-01-21,arXiv API published date,10.1109/HRI61500.2025.10974179,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4415286499; OpenAlex: W4415286499,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,ImageInThat states its simulated interface uses images from kitchen environments created using RoboCasa; no RoboCasa benchmark result is reported.,high,,
206,Improving Robotic Manipulation with Efficient Geometry-Aware Vision Encoder,2025,arXiv.org,n/a,n/a,n/a,2509.15880,,2025-09-19,arXiv API published date,10.48550/arXiv.2509.15880,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/93790f305721442253712d14ef4d81be3f4a3fcc,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"The paper uses MimicGen to generate about 2000 additional synthetic demonstrations for each task in a simulated RoboCasa environment, but reports transfer/real-robot results rather than RoboCasa benchmark metrics.",high,,
207,Infinigen-Sim: Procedural Generation of Articulated Simulation Assets,2025,arXiv.org,n/a,n/a,n/a,2505.10755,,2025-05-15,arXiv API published date,10.48550/arXiv.2505.10755,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/b60a04ba181be4e913c0a8a95a2c282d77748ec7; https://www.semanticscholar.org/paper/b1a69203fe25a33c3a47370db918b13eb85005e8,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa is cited in related work/references; no RoboCasa data or results are used. Merged duplicate row 240: RoboCasa is cited as related work for simulation-ready articulated assets; the paper does not use RoboCasa data or report RoboCasa metrics.,high,,
208,InternData-A1: Pioneering High-Fidelity Synthetic Data for Pre-training Generalist Policy,2025,arXiv.org,n/a,arXiv comments have no venue; web search found arXiv/index pages but no accepted conference or journal.,n/a,2511.16651,0,2025-11-20,"arXiv abs page https://arxiv.org/abs/2511.16651 dateline: Submitted on 20 Nov 2025; submission history v1 Thu, 20 Nov 2025 18:55:05 UTC.",10.48550/arXiv.2511.16651,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/07cba4075a15bb695beff69cee03a2fa049ff955,reports-results,rss24,not reported,"Table 3 dataset-pretraining comparison: InternData-A1 pretrained pi0 scores = 60.0% Easy, 26.5% Hard, 90.0% Sort Rubbish, 60.0% Pass Bottle. RoboCasa-pretrained pi0 baseline = 50.0% Easy, 11.0% Hard, 23.3% Sort Rubbish, 13.3% Pass Bottle; OXE = 32.5/11.0/40.0/36.7; Agibot World = 52.5/12.0/53.3/56.7.",60.0,,,,,,,,,Local text /tmp/robocasa_protocol_audit/txt/208_https_arxiv.org_pdf_2511.16651.txt lines 548-568: Table 3 compares models pretrained on InternData-A1 and other datasets including RoboCasa. Lines 571-572 state InternData-A1 average improvement over RoboCasa in real-robot evaluation.,high,weight-but-not-for-number,,"The paper says the authors release the dataset and will open-source the generation pipeline; the tracked model is a pi0-style model pretrained from PaliGemma plus a randomly initialized action expert on InternData-A1, then compared on downstream tasks: https://arxiv.org/abs/2511.16651.; The official homepage and Hugging Face dataset page provide dataset access, not the pi0 InternData-A1 model checkpoint that produced Table 3: https://internrobotics.github.io/interndata-a1.github.io/ and https://huggingface.co/datasets/InternRobotics/InternData-A1.; InternRobotics/InternVLA-A1-3B has public model.safetensors and lists InternData-A1 as a dataset, but it is a separate 2026 InternVLA-A1 model, not the 2025 pi0-style InternData-A1 checkpoint used for the tracked comparison: https://huggingface.co/InternRobotics/InternVLA-A1-3B.; The InternVLA-A1 model card lists InternData-A1-only pretrain model links as unchecked, and metadata requests for those InternData-A1-only repos were not publicly accessible. Notes: Previous label normalized to weight-but-not-for-number. Public InternVLA-A1 and dataset artifacts are related InternData-A1 resources, but not the number-producing pi0-style checkpoint for this row.",high,"InternData-A1 benchmarks pretraining data sources including RoboCasa; Table 3 reports the RoboCasa-pretrained model at 50.0% Easy, 11.0% Hard, 23.3% Sort Rubbish, and 13.3% Pass Bottle.",high,otherwise,"InternData-A1 compares RoboCasa as a pretraining dataset on separate simulated and real tasks, not as a standard RoboCasa benchmark evaluation."
209,Interpretable Affordance Detection on 3D Point Clouds with Probabilistic Prototypes,2025,arXiv.org,n/a,n/a,n/a,2504.18355,,2025-04-25,arXiv API published date,10.48550/arXiv.2504.18355,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4416380710; OpenAlex: W4416380710,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as a citation among affordance/robot manipulation references.,high,,
210,Invariance Co-training for Robot Visual Generalization,2025,arXiv.org,n/a,n/a,n/a,2512.05230,,2025-12-04,arXiv API published date,10.48550/arXiv.2512.05230,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/e020ee2444cbff0a7aa5d5bdfa03856d52eb28b5,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the references/related citation list; the paper's cotraining experiments are not RoboCasa experiments.,high,,
211,IRIS: An Immersive Robot Interaction System,2025,arXiv.org,n/a,n/a,n/a,2502.03297,,2025-02-05,arXiv API published date,10.48550/arXiv.2502.03297,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/406fb47155714ee76a8750d11f526852c8299043,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"IRIS says it has been tested with RoboCasa and discusses loading/compressing RoboCasa scene assets, but it does not report a RoboCasa task success metric.",high,,
212,KoopMotion: Learning Almost Divergence Free Koopman Flow Fields for Motion Planning,2025,arXiv.org,n/a,n/a,n/a,2509.09074,,2025-09-11,arXiv API published date,10.48550/arXiv.2509.09074,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/1a43bb75f11e630777c5c52efb83e92be5e99730,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"KoopMotion uses a 3D end-effector trajectory dataset generated from the RoboCasa simulator and shows qualitative/supplemental trajectory modeling, without a numerical RoboCasa benchmark result.",medium,,
213,Learning Long-Context Diffusion Policies via Past-Token Prediction,2025,arXiv.org,n/a,n/a,n/a,2505.09561,,2025-05-14,arXiv API published date,10.48550/arXiv.2505.09561,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4415016199; OpenAlex: W4415016199,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as reference [24] in the bibliography.,high,,
214,Learning to See and Act: Task-Aware View Planning for Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2508.05186,,2025-08-07,arXiv API published date,10.48550/arXiv.2508.05186,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/956c03803fca72e647a19f26fef50d0177505e07,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Cached full text was available and searched, but no RoboCasa/Nasiriany occurrence was found despite the indexed citation hit.",low,,
215,LIBERO-PRO: Towards Robust and Fair Evaluation of Vision-Language-Action Models Beyond Memorization,2025,arXiv.org,n/a,n/a,n/a,2510.03827,,2025-10-04,arXiv API published date,10.48550/arXiv.2510.03827,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/c3a0ea8b0563c735d768fca1eb5920fa85511ac7,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,LIBERO-PRO mentions RoboCasa only as one of several VLA evaluation benchmarks in related work and cites it in the bibliography.,high,,
216,LodeStar: Long-horizon Dexterity via Synthetic Data Augmentation from Human Demonstrations,2025,arXiv.org,n/a,n/a,n/a,2508.17547,,2025-08-24,arXiv API published date,10.48550/arXiv.2508.17547,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/f173b29e657f4c0c2d24b270f4e6da3e57865738,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No cached full text or RoboCasa context was available for inspection.,low,,
217,ManipBench: Benchmarking Vision-Language Models for Low-Level Robot Manipulation,2025,arXiv.org,n/a,n/a,n/a,2505.09698,,2025-05-14,arXiv API published date,10.48550/arXiv.2505.09698,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/f4efa7928f4bfd0bcea6e422ac682f2d5994842b,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"ManipBench cites RoboCasa as a high-level planning/mobile-manipulation benchmark and says such simulators could be leveraged, but reports no RoboCasa experiment.",high,,
218,MarketGen: A Scalable Simulation Platform with Auto-Generated Embodied Supermarket Environments,2025,arXiv.org,n/a,n/a,n/a,2511.21161,,2025-11-26,arXiv API published date,10.48550/arXiv.2511.21161,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4416785333; OpenAlex: W4416785333,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"MarketGen includes RoboCasa in a platform/property comparison table with asset counts and checkmarks, plus a reference entry; this is a dataset/platform table, not a RoboCasa result for the method.",high,,
